algoritmo,tiempo_promedio,tiempo_mediana,tiempo_minimo,tiempo_maximo,tiempo_desviacion,memoria_promedio,memoria_mediana,memoria_minima,memoria_maxima,memoria_desviacion,nodos_promedio,movimientos_promedio,profundidad_promedio
BFS,0.000689694000175176,0.00063165000756265,0.000390300003346,0.0024213000433519,0.00025553977547649736,16.82296875,16.48046875,16.41796875,30.35546875,1.8051483612325614,80.25,6.0,6.0
DFS,0.25139425299654244,0.3193626499851234,5.1799986977130175e-05,0.5280581000261009,0.20364602067895832,9777.182578125,11673.19140625,2.02734375,17363.25390625,7868.194648161479,28059.49,6715.137254901961,6715.137254901961
