simulacion,objetos,algoritmo,pesos,valores,capacidad,tiempo,memoria_kb,nodos,valor_optimo
80,12,DFS,"[5, 10, 11, 8, 8, 7, 6, 2, 3, 7, 8, 11]","[6, 14, 27, 3, 12, 11, 22, 28, 11, 23, 10, 13]",34,0.003571000008378178,0.3984375,3207,117
81,15,BFS,"[14, 9, 8, 6, 6, 13, 14, 14, 11, 9, 7, 4, 6, 13, 11]","[25, 2, 3, 9, 4, 13, 17, 1, 28, 15, 2, 17, 20, 16, 15]",58,0.04235609999159351,1291.8515625,21952,122
81,15,DFS,"[14, 9, 8, 6, 6, 13, 14, 14, 11, 9, 7, 4, 6, 13, 11]","[25, 2, 3, 9, 4, 13, 17, 1, 28, 15, 2, 17, 20, 16, 15]",58,0.023315700003877282,0.609375,21952,122
82,15,BFS,"[13, 4, 9, 15, 8, 12, 2, 11, 13, 12, 5, 1, 7, 4, 15]","[2, 9, 5, 10, 29, 16, 1, 20, 8, 6, 18, 18, 3, 27, 4]",52,0.04139740002574399,1302.3125,22488,140
82,15,DFS,"[13, 4, 9, 15, 8, 12, 2, 11, 13, 12, 5, 1, 7, 4, 15]","[2, 9, 5, 10, 29, 16, 1, 20, 8, 6, 18, 18, 3, 27, 4]",52,0.02424820000305772,0.6796875,22488,140
83,15,BFS,"[8, 11, 3, 15, 5, 12, 7, 8, 4, 9, 7, 15, 9, 15, 14]","[4, 27, 16, 23, 17, 9, 27, 16, 15, 5, 7, 20, 24, 5, 3]",56,0.04305959999328479,1202.8203125,23465,149
83,15,DFS,"[8, 11, 3, 15, 5, 12, 7, 8, 4, 9, 7, 15, 9, 15, 14]","[4, 27, 16, 23, 17, 9, 27, 16, 15, 5, 7, 20, 24, 5, 3]",56,0.024752600002102554,0.625,23465,149
84,15,BFS,"[5, 13, 7, 15, 9, 14, 5, 5, 10, 11, 14, 8, 8, 6, 13]","[25, 28, 11, 26, 9, 1, 24, 27, 19, 16, 5, 18, 12, 18, 18]",57,0.0399049999541603,1234.0546875,21806,166
84,15,DFS,"[5, 13, 7, 15, 9, 14, 5, 5, 10, 11, 14, 8, 8, 6, 13]","[25, 28, 11, 26, 9, 1, 24, 27, 19, 16, 5, 18, 12, 18, 18]",57,0.023857499996665865,0.6171875,21806,166
85,15,BFS,"[7, 15, 14, 12, 10, 4, 13, 1, 12, 12, 13, 7, 13, 11, 8]","[15, 11, 7, 8, 13, 28, 14, 11, 16, 30, 13, 22, 27, 5, 2]",60,0.03793809999478981,1185.03125,20534,149
85,15,DFS,"[7, 15, 14, 12, 10, 4, 13, 1, 12, 12, 13, 7, 13, 11, 8]","[15, 11, 7, 8, 13, 28, 14, 11, 16, 30, 13, 22, 27, 5, 2]",60,0.021825200004968792,0.546875,20534,149
86,15,BFS,"[3, 10, 14, 14, 8, 9, 8, 12, 7, 11, 2, 13, 6, 12, 11]","[17, 11, 4, 28, 4, 30, 1, 5, 28, 5, 16, 9, 20, 13, 3]",56,0.04183120001107454,1261.7578125,22497,152
86,15,DFS,"[3, 10, 14, 14, 8, 9, 8, 12, 7, 11, 2, 13, 6, 12, 11]","[17, 11, 4, 28, 4, 30, 1, 5, 28, 5, 16, 9, 20, 13, 3]",56,0.0238346999976784,0.6171875,22497,152
87,15,BFS,"[14, 14, 14, 7, 11, 15, 8, 9, 10, 4, 11, 5, 12, 7, 13]","[11, 22, 18, 11, 23, 25, 28, 2, 3, 21, 30, 8, 3, 4, 21]",61,0.038608300033956766,1179.21875,21019,146
87,15,DFS,"[14, 14, 14, 7, 11, 15, 8, 9, 10, 4, 11, 5, 12, 7, 13]","[11, 22, 18, 11, 23, 25, 28, 2, 3, 21, 30, 8, 3, 4, 21]",61,0.023329599993303418,0.5859375,21019,146
88,15,BFS,"[12, 2, 3, 5, 1, 6, 1, 6, 7, 4, 7, 11, 3, 3, 10]","[28, 15, 23, 29, 2, 26, 10, 12, 5, 17, 19, 26, 6, 3, 28]",32,0.045776600018143654,1385.1015625,24216,150
88,15,DFS,"[12, 2, 3, 5, 1, 6, 1, 6, 7, 4, 7, 11, 3, 3, 10]","[28, 15, 23, 29, 2, 26, 10, 12, 5, 17, 19, 26, 6, 3, 28]",32,0.02679179998813197,0.7109375,24216,150
89,15,BFS,"[7, 11, 8, 10, 4, 11, 8, 11, 15, 8, 5, 9, 2, 6, 5]","[20, 8, 30, 5, 15, 9, 9, 1, 26, 29, 22, 6, 15, 19, 21]",48,0.038431999972090125,1281.9375,19936,171
89,15,DFS,"[7, 11, 8, 10, 4, 11, 8, 11, 15, 8, 5, 9, 2, 6, 5]","[20, 8, 30, 5, 15, 9, 9, 1, 26, 29, 22, 6, 15, 19, 21]",48,0.021811800019349903,0.59375,19936,171
90,15,BFS,"[7, 5, 14, 4, 14, 2, 7, 6, 5, 5, 14, 7, 1, 14, 13]","[23, 15, 10, 13, 16, 8, 19, 19, 23, 1, 22, 9, 19, 22, 24]",47,0.04660519998287782,1370.921875,24958,150
90,15,DFS,"[7, 5, 14, 4, 14, 2, 7, 6, 5, 5, 14, 7, 1, 14, 13]","[23, 15, 10, 13, 16, 8, 19, 19, 23, 1, 22, 9, 19, 22, 24]",47,0.026847399945836514,0.71875,24958,150
91,15,BFS,"[1, 10, 8, 15, 5, 13, 10, 6, 11, 10, 11, 12, 11, 14, 11]","[30, 24, 27, 29, 25, 8, 26, 8, 7, 9, 25, 25, 22, 5, 4]",59,0.04090249998262152,1225.3515625,22625,182
91,15,DFS,"[1, 10, 8, 15, 5, 13, 10, 6, 11, 10, 11, 12, 11, 14, 11]","[30, 24, 27, 29, 25, 8, 26, 8, 7, 9, 25, 25, 22, 5, 4]",59,0.0239142999635078,0.4765625,22625,182
92,15,BFS,"[15, 11, 5, 8, 10, 12, 2, 5, 12, 3, 3, 9, 6, 9, 5]","[21, 2, 26, 2, 12, 5, 30, 11, 14, 7, 26, 29, 17, 30, 27]",46,0.041933400032576174,1335.6953125,21389,196
92,15,DFS,"[15, 11, 5, 8, 10, 12, 2, 5, 12, 3, 3, 9, 6, 9, 5]","[21, 2, 26, 2, 12, 5, 30, 11, 14, 7, 26, 29, 17, 30, 27]",46,0.023647100024390966,0.6953125,21389,196
93,15,BFS,"[3, 15, 8, 5, 14, 13, 8, 3, 4, 11, 11, 14, 9, 2, 7]","[9, 27, 26, 24, 11, 4, 3, 25, 28, 24, 13, 26, 12, 26, 1]",50,0.037606900034006685,1254.2421875,20113,188
93,15,DFS,"[3, 15, 8, 5, 14, 13, 8, 3, 4, 11, 11, 14, 9, 2, 7]","[9, 27, 26, 24, 11, 4, 3, 25, 28, 24, 13, 26, 12, 26, 1]",50,0.02166679996298626,0.609375,20113,188
94,15,BFS,"[5, 2, 6, 12, 5, 7, 11, 2, 4, 1, 15, 6, 10, 11, 11]","[18, 15, 22, 22, 19, 27, 12, 22, 16, 20, 18, 30, 8, 3, 27]",43,0.046765899984166026,1360.3046875,25048,194
94,15,DFS,"[5, 2, 6, 12, 5, 7, 11, 2, 4, 1, 15, 6, 10, 11, 11]","[18, 15, 22, 22, 19, 27, 12, 22, 16, 20, 18, 30, 8, 3, 27]",43,0.02644230000441894,0.71875,25048,194
95,15,BFS,"[8, 12, 11, 2, 1, 5, 2, 4, 9, 7, 6, 12, 9, 10, 12]","[30, 10, 14, 5, 2, 16, 4, 29, 5, 15, 22, 23, 14, 24, 5]",44,0.04568370000924915,1343.203125,25214,145
95,15,DFS,"[8, 12, 11, 2, 1, 5, 2, 4, 9, 7, 6, 12, 9, 10, 12]","[30, 10, 14, 5, 2, 16, 4, 29, 5, 15, 22, 23, 14, 24, 5]",44,0.026988399971742183,0.6953125,25214,145
96,15,BFS,"[15, 11, 14, 10, 5, 12, 4, 8, 14, 2, 6, 15, 6, 7, 4]","[14, 4, 16, 14, 2, 12, 15, 8, 12, 22, 18, 21, 2, 9, 4]",53,0.038025999965611845,1300.3828125,20068,107
96,15,DFS,"[15, 11, 14, 10, 5, 12, 4, 8, 14, 2, 6, 15, 6, 7, 4]","[14, 4, 16, 14, 2, 12, 15, 8, 12, 22, 18, 21, 2, 9, 4]",53,0.021751799969933927,0.625,20068,107
97,15,BFS,"[14, 8, 11, 11, 10, 1, 6, 3, 10, 2, 13, 4, 4, 14, 6]","[27, 3, 7, 21, 1, 26, 8, 26, 7, 27, 18, 19, 27, 8, 25]",46,0.04082220001146197,1277.6328125,21559,198
97,15,DFS,"[14, 8, 11, 11, 10, 1, 6, 3, 10, 2, 13, 4, 4, 14, 6]","[27, 3, 7, 21, 1, 26, 8, 26, 7, 27, 18, 19, 27, 8, 25]",46,0.02361989999189973,0.703125,21559,198
98,15,BFS,"[3, 15, 1, 14, 3, 5, 3, 11, 1, 1, 13, 4, 6, 3, 1]","[26, 20, 9, 5, 18, 26, 4, 28, 5, 12, 26, 19, 1, 9, 5]",33,0.04192069999407977,1531.8046875,20903,157
98,15,DFS,"[3, 15, 1, 14, 3, 5, 3, 11, 1, 1, 13, 4, 6, 3, 1]","[26, 20, 9, 5, 18, 26, 4, 28, 5, 12, 26, 19, 1, 9, 5]",33,0.02473090001149103,0.8046875,20903,157
99,15,BFS,"[12, 9, 12, 8, 13, 9, 2, 9, 10, 12, 15, 11, 5, 11, 1]","[14, 4, 3, 15, 12, 19, 15, 8, 2, 26, 28, 17, 15, 1, 16]",55,0.038639400037936866,1211.0546875,18827,136
99,15,DFS,"[12, 9, 12, 8, 13, 9, 2, 9, 10, 12, 15, 11, 5, 11, 1]","[14, 4, 3, 15, 12, 19, 15, 8, 2, 26, 28, 17, 15, 1, 16]",55,0.020924100012052804,0.5546875,18827,136
100,15,BFS,"[14, 7, 2, 12, 8, 15, 6, 3, 3, 10, 10, 12, 7, 9, 8]","[13, 22, 16, 30, 3, 3, 20, 3, 9, 21, 18, 11, 20, 10, 17]",50,0.04120620002504438,1263.75,21624,141
100,15,DFS,"[14, 7, 2, 12, 8, 15, 6, 3, 3, 10, 10, 12, 7, 9, 8]","[13, 22, 16, 30, 3, 3, 20, 3, 9, 21, 18, 11, 20, 10, 17]",50,0.023400900012347847,0.625,21624,141
