simulacion,objetos,algoritmo,pesos,valores,capacidad,tiempo,memoria_kb,nodos,valor_optimo
22,8,BFS,"[15, 14, 5, 11, 10, 3, 13, 9]","[4, 21, 27, 17, 7, 12, 6, 25]",32,0.00018319999799132347,3.9765625,225,85
22,8,DFS,"[15, 14, 5, 11, 10, 3, 13, 9]","[4, 21, 27, 17, 7, 12, 6, 25]",32,0.00017340003978461027,0.234375,225,85
23,8,BFS,"[15, 15, 10, 8, 2, 6, 14, 5]","[17, 1, 11, 1, 30, 29, 26, 8]",30,0.0001710999640636146,3.640625,213,93
23,8,DFS,"[15, 15, 10, 8, 2, 6, 14, 5]","[17, 1, 11, 1, 30, 29, 26, 8]",30,0.00017010001465678215,0.234375,213,93
24,8,BFS,"[1, 15, 2, 12, 14, 13, 13, 3]","[8, 19, 3, 16, 3, 18, 5, 22]",29,0.0001737999846227467,4.015625,229,64
24,8,DFS,"[1, 15, 2, 12, 14, 13, 13, 3]","[8, 19, 3, 16, 3, 18, 5, 22]",29,0.00017119996482506394,0.234375,229,64
25,8,BFS,"[8, 3, 9, 10, 4, 9, 12, 4]","[18, 9, 28, 14, 30, 25, 23, 23]",23,0.00016910000704228878,2.8984375,216,90
25,8,DFS,"[8, 3, 9, 10, 4, 9, 12, 4]","[18, 9, 28, 14, 30, 25, 23, 23]",23,0.0001626000157557428,0.203125,216,90
26,8,BFS,"[5, 11, 6, 15, 8, 4, 2, 1]","[13, 21, 15, 17, 4, 8, 11, 19]",20,0.00015279999934136868,4.0234375,187,66
26,8,DFS,"[5, 11, 6, 15, 8, 4, 2, 1]","[13, 21, 15, 17, 4, 8, 11, 19]",20,0.0001545000122860074,0.2578125,187,66
27,8,BFS,"[9, 10, 1, 12, 1, 2, 1, 6]","[8, 8, 3, 21, 8, 29, 28, 3]",16,0.00016979995416477323,4.1484375,215,86
