simulacion,algoritmo,inicio,mezcla,nodos,movimientos,profundidad,tiempo,memoria_kb,limite_alcanzado
23,DFS,"(2, 5, 3, 1, 0, 6, 4, 7, 8)",6,18224,17644,17644,0.21796829998493195,6880.20703125,False
24,BFS,"(4, 1, 3, 2, 0, 5, 7, 8, 6)",6,106,6,6,0.0007818000158295035,16.48046875,False
24,DFS,"(4, 1, 3, 2, 0, 5, 7, 8, 6)",6,332,322,322,0.0021138000302016735,60.99609375,False
25,BFS,"(1, 2, 3, 7, 0, 5, 8, 4, 6)",6,93,6,6,0.0006396000389941037,16.48046875,False
25,DFS,"(1, 2, 3, 7, 0, 5, 8, 4, 6)",6,50000,,,0.43646719999378547,17358.49609375,True
26,BFS,"(1, 2, 3, 5, 6, 8, 4, 7, 0)",6,71,6,6,0.0006036999984644353,16.48046875,False
26,DFS,"(1, 2, 3, 5, 6, 8, 4, 7, 0)",6,25,24,24,0.00017610000213608146,6.02734375,False
27,BFS,"(0, 5, 2, 1, 4, 3, 7, 8, 6)",6,62,6,6,0.0003960999893024564,16.48046875,False
27,DFS,"(0, 5, 2, 1, 4, 3, 7, 8, 6)",6,50000,,,0.5280581000261009,17359.26171875,True
28,BFS,"(1, 5, 0, 4, 3, 2, 7, 8, 6)",6,62,6,6,0.0006006999756209552,16.48046875,False
28,DFS,"(1, 5, 0, 4, 3, 2, 7, 8, 6)",6,50000,,,0.4373446999816224,17359.04296875,True
29,BFS,"(4, 1, 2, 7, 5, 3, 0, 8, 6)",6,58,6,6,0.00043429998913779855,16.48046875,False
29,DFS,"(4, 1, 2, 7, 5, 3, 0, 8, 6)",6,50000,,,0.44619930000044405,17359.04296875,True
30,BFS,"(2, 5, 3, 1, 0, 6, 4, 7, 8)",6,71,6,6,0.0007075999747030437,16.48046875,False
30,DFS,"(2, 5, 3, 1, 0, 6, 4, 7, 8)",6,18224,17644,17644,0.1615993000450544,6880.20703125,False
31,BFS,"(2, 3, 0, 1, 5, 6, 4, 7, 8)",6,84,6,6,0.0008789999992586672,16.48046875,False
31,DFS,"(2, 3, 0, 1, 5, 6, 4, 7, 8)",6,31,30,30,0.00021500000730156898,6.02734375,False
32,BFS,"(1, 2, 0, 5, 6, 3, 4, 7, 8)",6,71,6,6,0.0004703000304289162,16.48046875,False
32,DFS,"(1, 2, 0, 5, 6, 3, 4, 7, 8)",6,323,316,316,0.002188200014643371,60.99609375,False
33,BFS,"(4, 1, 2, 7, 5, 3, 0, 8, 6)",6,58,6,6,0.0005062000127509236,16.48046875,False
33,DFS,"(4, 1, 2, 7, 5, 3, 0, 8, 6)",6,50000,,,0.43562280002515763,17358.60546875,True
34,BFS,"(0, 5, 2, 1, 4, 3, 7, 8, 6)",6,62,6,6,0.0004881999921053648,16.48046875,False
34,DFS,"(0, 5, 2, 1, 4, 3, 7, 8, 6)",6,50000,,,0.4408125999616459,17359.15234375,True
35,BFS,"(2, 5, 3, 1, 0, 6, 4, 7, 8)",6,71,6,6,0.0005972000071778893,16.48046875,False
35,DFS,"(2, 5, 3, 1, 0, 6, 4, 7, 8)",6,18224,17644,17644,0.16109909996157512,6880.20703125,False
36,BFS,"(1, 5, 2, 4, 8, 3, 7, 6, 0)",6,74,6,6,0.0004970000009052455,16.48046875,False
36,DFS,"(1, 5, 2, 4, 8, 3, 7, 6, 0)",6,2606,2536,2536,0.022220599988941103,598.16015625,False
37,BFS,"(0, 1, 3, 5, 2, 6, 4, 7, 8)",6,78,6,6,0.0006357000092975795,16.48046875,False
37,DFS,"(0, 1, 3, 5, 2, 6, 4, 7, 8)",6,50000,,,0.43629990000044927,17358.49609375,True
38,BFS,"(1, 2, 3, 7, 4, 6, 5, 8, 0)",6,88,6,6,0.000672199996188283,16.48046875,False
38,DFS,"(1, 2, 3, 7, 4, 6, 5, 8, 0)",6,50000,,,0.4434284000308253,17359.04296875,True
39,BFS,"(2, 5, 3, 1, 0, 6, 4, 7, 8)",6,71,6,6,0.0006254999898374081,16.48046875,False
39,DFS,"(2, 5, 3, 1, 0, 6, 4, 7, 8)",6,18224,17644,17644,0.15937249996932223,6880.20703125,False
40,BFS,"(1, 5, 2, 4, 8, 3, 7, 6, 0)",6,74,6,6,0.000679299992043525,16.48046875,False
40,DFS,"(1, 5, 2, 4, 8, 3, 7, 6, 0)",6,2606,2536,2536,0.02042389998678118,598.16015625,False
41,BFS,"(1, 5, 2, 4, 8, 3, 0, 7, 6)",6,74,6,6,0.0012389000039547682,16.48046875,False
41,DFS,"(1, 5, 2, 4, 8, 3, 0, 7, 6)",6,2954,2876,2876,0.02744700002949685,1121.35546875,False
42,BFS,"(4, 1, 3, 7, 2, 5, 0, 8, 6)",6,57,6,6,0.00044440000783652067,16.48046875,False
42,DFS,"(4, 1, 3, 7, 2, 5, 0, 8, 6)",6,22050,21238,21238,0.19256639998639002,7618.40234375,False
43,BFS,"(2, 5, 3, 1, 0, 6, 4, 7, 8)",6,71,6,6,0.000582900014705956,16.48046875,False
43,DFS,"(2, 5, 3, 1, 0, 6, 4, 7, 8)",6,18224,17644,17644,0.16236699995351955,6879.49609375,False
44,BFS,"(1, 2, 3, 5, 7, 6, 4, 8, 0)",6,79,6,6,0.0006010000361129642,16.48046875,False
44,DFS,"(1, 2, 3, 5, 7, 6, 4, 8, 0)",6,36606,34376,34376,0.317883699957747,11673.19140625,False
45,BFS,"(1, 5, 2, 4, 8, 3, 0, 7, 6)",6,74,6,6,0.000568699964787811,16.48046875,False
45,DFS,"(1, 5, 2, 4, 8, 3, 0, 7, 6)",6,2954,2876,2876,0.02738599997246638,1121.35546875,False
46,BFS,"(2, 3, 0, 1, 4, 6, 7, 5, 8)",6,88,6,6,0.0006276000058278441,16.48046875,False
46,DFS,"(2, 3, 0, 1, 4, 6, 7, 5, 8)",6,50000,,,0.4409696999937296,17358.38671875,True
47,BFS,"(1, 2, 3, 7, 4, 6, 5, 8, 0)",6,88,6,6,0.0006685000262223184,16.48046875,False
47,DFS,"(1, 2, 3, 7, 4, 6, 5, 8, 0)",6,50000,,,0.44506830000318587,17359.04296875,True
48,BFS,"(1, 5, 2, 4, 8, 3, 0, 7, 6)",6,74,6,6,0.0005992999649606645,16.48046875,False
48,DFS,"(1, 5, 2, 4, 8, 3, 0, 7, 6)",6,2954,2876,2876,0.02468939998652786,1122.01171875,False
49,BFS,"(1, 3, 0, 5, 2, 6, 4, 7, 8)",6,79,6,6,0.0011665999772958457,16.48046875,False
49,DFS,"(1, 3, 0, 5, 2, 6, 4, 7, 8)",6,50000,,,0.4368838999653235,17358.38671875,True
50,BFS,"(2, 3, 0, 1, 5, 6, 4, 7, 8)",6,84,6,6,0.0006707999855279922,16.48046875,False
50,DFS,"(2, 3, 0, 1, 5, 6, 4, 7, 8)",6,31,30,30,0.0002093999646604061,6.02734375,False
51,BFS,"(1, 5, 2, 4, 3, 6, 7, 8, 0)",6,62,6,6,0.0006129000103101134,16.48046875,False
51,DFS,"(1, 5, 2, 4, 3, 6, 7, 8, 0)",6,50000,,,0.4347671000286937,17359.15234375,True
52,BFS,"(1, 2, 3, 7, 0, 5, 8, 4, 6)",6,93,6,6,0.0008360000210814178,16.48046875,False
52,DFS,"(1, 2, 3, 7, 0, 5, 8, 4, 6)",6,50000,,,0.44180520001100376,17359.09765625,True
53,BFS,"(4, 1, 2, 5, 0, 3, 7, 8, 6)",6,107,6,6,0.0008149999775923789,16.48046875,False
53,DFS,"(4, 1, 2, 5, 0, 3, 7, 8, 6)",6,326,318,318,0.0021960000158287585,61.05078125,False
54,BFS,"(4, 1, 2, 5, 0, 3, 7, 8, 6)",6,107,6,6,0.0007013999857008457,16.48046875,False
54,DFS,"(4, 1, 2, 5, 0, 3, 7, 8, 6)",6,326,318,318,0.002107800042722374,60.99609375,False
55,BFS,"(4, 1, 2, 7, 5, 3, 0, 8, 6)",6,58,6,6,0.0004298000130802393,16.48046875,False
55,DFS,"(4, 1, 2, 7, 5, 3, 0, 8, 6)",6,50000,,,0.43750689999433234,17359.26171875,True
56,BFS,"(4, 1, 2, 7, 5, 3, 0, 8, 6)",6,58,6,6,0.00046740000834688544,16.48046875,False
56,DFS,"(4, 1, 2, 7, 5, 3, 0, 8, 6)",6,50000,,,0.44009580003330484,17359.04296875,True
57,BFS,"(0, 1, 3, 5, 2, 6, 4, 7, 8)",6,78,6,6,0.0007077999762259424,16.48046875,False
57,DFS,"(0, 1, 3, 5, 2, 6, 4, 7, 8)",6,50000,,,0.4434754999820143,17359.15234375,True
58,BFS,"(2, 3, 0, 1, 4, 6, 7, 5, 8)",6,88,6,6,0.0007017999887466431,16.48046875,False
58,DFS,"(2, 3, 0, 1, 4, 6, 7, 5, 8)",6,50000,,,0.4491963000036776,17359.04296875,True
59,BFS,"(2, 5, 3, 1, 0, 6, 4, 7, 8)",6,71,6,6,0.0006370999617502093,16.48046875,False
59,DFS,"(2, 5, 3, 1, 0, 6, 4, 7, 8)",6,18224,17644,17644,0.1600959000061266,6880.20703125,False
60,BFS,"(2, 3, 0, 1, 5, 6, 4, 7, 8)",6,84,6,6,0.0006060000159777701,16.48046875,False
60,DFS,"(2, 3, 0, 1, 5, 6, 4, 7, 8)",6,31,30,30,0.00021629995899274945,6.02734375,False
61,BFS,"(2, 5, 3, 1, 0, 6, 4, 7, 8)",6,71,6,6,0.000513100007083267,16.48046875,False
61,DFS,"(2, 5, 3, 1, 0, 6, 4, 7, 8)",6,18224,17644,17644,0.16559290001168847,6879.60546875,False
62,BFS,"(1, 3, 6, 4, 0, 2, 7, 5, 8)",6,117,6,6,0.0007995999767445028,23.35546875,False
62,DFS,"(1, 3, 6, 4, 0, 2, 7, 5, 8)",6,50000,,,0.43691049999324605,17358.38671875,True
63,BFS,"(2, 4, 3, 1, 0, 6, 7, 5, 8)",6,75,6,6,0.0007090999861247838,16.48046875,False
63,DFS,"(2, 4, 3, 1, 0, 6, 7, 5, 8)",6,50000,,,0.5082852999912575,17359.09765625,True
64,BFS,"(0, 1, 2, 4, 6, 3, 7, 5, 8)",6,88,6,6,0.0008538999827578664,16.48046875,False
64,DFS,"(0, 1, 2, 4, 6, 3, 7, 5, 8)",6,50000,,,0.44211070000892505,17359.15234375,True
65,BFS,"(1, 2, 3, 7, 4, 5, 8, 6, 0)",6,90,6,6,0.0006848000339232385,16.48046875,False
65,DFS,"(1, 2, 3, 7, 4, 5, 8, 6, 0)",6,7,6,6,5.530001362785697e-05,2.02734375,False
66,BFS,"(1, 2, 3, 5, 6, 8, 4, 7, 0)",6,71,6,6,0.0005118999979458749,16.48046875,False
66,DFS,"(1, 2, 3, 5, 6, 8, 4, 7, 0)",6,25,24,24,0.00016949995188042521,6.02734375,False
67,BFS,"(4, 1, 2, 5, 0, 3, 7, 8, 6)",6,107,6,6,0.000735500012524426,16.48046875,False
67,DFS,"(4, 1, 2, 5, 0, 3, 7, 8, 6)",6,326,318,318,0.002159499970730394,60.99609375,False
68,BFS,"(1, 2, 3, 7, 4, 6, 5, 8, 0)",6,88,6,6,0.0006065000197850168,16.48046875,False
68,DFS,"(1, 2, 3, 7, 4, 6, 5, 8, 0)",6,50000,,,0.44435930001782253,17359.37109375,True
69,BFS,"(1, 2, 0, 5, 6, 3, 4, 7, 8)",6,71,6,6,0.0005991000216454268,16.48046875,False
69,DFS,"(1, 2, 0, 5, 6, 3, 4, 7, 8)",6,323,316,316,0.002126299950759858,60.99609375,False
70,BFS,"(0, 1, 2, 4, 6, 3, 7, 5, 8)",6,88,6,6,0.0006448999629355967,16.48046875,False
70,DFS,"(0, 1, 2, 4, 6, 3, 7, 5, 8)",6,50000,,,0.45491080003557727,17359.26171875,True
71,BFS,"(1, 5, 2, 4, 8, 3, 0, 7, 6)",6,74,6,6,0.0012635000166483223,16.48046875,False
71,DFS,"(1, 5, 2, 4, 8, 3, 0, 7, 6)",6,2954,2876,2876,0.027620999957434833,1122.01171875,False
72,BFS,"(4, 1, 2, 5, 0, 3, 7, 8, 6)",6,107,6,6,0.0008393000462092459,16.48046875,False
72,DFS,"(4, 1, 2, 5, 0, 3, 7, 8, 6)",6,326,318,318,0.0021109000081196427,60.99609375,False
73,BFS,"(1, 2, 3, 4, 6, 8, 0, 7, 5)",6,88,6,6,0.0006021000444889069,16.48046875,False
73,DFS,"(1, 2, 3, 4, 6, 8, 0, 7, 5)",6,50000,,,0.4456339000025764,17358.49609375,True
74,BFS,"(0, 5, 2, 1, 4, 3, 7, 8, 6)",6,62,6,6,0.0005265999934636056,16.48046875,False
74,DFS,"(0, 5, 2, 1, 4, 3, 7, 8, 6)",6,50000,,,0.4637874999898486,17359.15234375,True
75,BFS,"(4, 1, 3, 2, 0, 5, 7, 8, 6)",6,106,6,6,0.0008397999918088317,16.48046875,False
75,DFS,"(4, 1, 3, 2, 0, 5, 7, 8, 6)",6,332,322,322,0.002169600047636777,61.05078125,False
76,BFS,"(1, 2, 3, 7, 4, 5, 8, 6, 0)",6,90,6,6,0.0006961000035516918,16.48046875,False
76,DFS,"(1, 2, 3, 7, 4, 5, 8, 6, 0)",6,7,6,6,5.1799986977130175e-05,2.02734375,False
77,BFS,"(1, 2, 3, 4, 6, 8, 0, 7, 5)",6,88,6,6,0.0005956999957561493,16.48046875,False
77,DFS,"(1, 2, 3, 4, 6, 8, 0, 7, 5)",6,50000,,,0.4472101999563165,17359.26171875,True
78,BFS,"(1, 2, 3, 7, 4, 5, 8, 6, 0)",6,90,6,6,0.0006952999974600971,16.48046875,False
78,DFS,"(1, 2, 3, 7, 4, 5, 8, 6, 0)",6,7,6,6,5.3800002206116915e-05,2.02734375,False
79,BFS,"(1, 2, 3, 4, 6, 8, 0, 7, 5)",6,88,6,6,0.0012659000349231064,16.48046875,False
79,DFS,"(1, 2, 3, 4, 6, 8, 0, 7, 5)",6,50000,,,0.4429925999720581,17359.15234375,True
80,BFS,"(2, 5, 3, 1, 0, 6, 4, 7, 8)",6,71,6,6,0.0005999999702908099,16.48046875,False
80,DFS,"(2, 5, 3, 1, 0, 6, 4, 7, 8)",6,18224,17644,17644,0.1607537000090815,6880.20703125,False
81,BFS,"(0, 1, 2, 4, 6, 3, 7, 5, 8)",6,88,6,6,0.0007659000111743808,16.48046875,False
81,DFS,"(0, 1, 2, 4, 6, 3, 7, 5, 8)",6,50000,,,0.45429710001917556,17358.49609375,True
82,BFS,"(0, 1, 3, 5, 2, 6, 4, 7, 8)",6,78,6,6,0.000749400001950562,16.48046875,False
82,DFS,"(0, 1, 3, 5, 2, 6, 4, 7, 8)",6,50000,,,0.44367639999836683,17359.15234375,True
83,BFS,"(1, 2, 3, 5, 7, 6, 0, 4, 8)",6,78,6,6,0.0006050000083632767,16.48046875,False
83,DFS,"(1, 2, 3, 5, 7, 6, 0, 4, 8)",6,333,326,326,0.002182499971240759,60.99609375,False
84,BFS,"(1, 2, 0, 5, 6, 3, 4, 7, 8)",6,71,6,6,0.0005115999956615269,16.48046875,False
84,DFS,"(1, 2, 0, 5, 6, 3, 4, 7, 8)",6,323,316,316,0.002111900015734136,60.99609375,False
85,BFS,"(1, 2, 3, 7, 0, 6, 5, 4, 8)",6,91,6,6,0.0007838000310584903,16.48046875,False
85,DFS,"(1, 2, 3, 7, 0, 6, 5, 4, 8)",6,50000,,,0.44411029998445883,17359.26171875,True
86,BFS,"(2, 5, 3, 1, 0, 6, 4, 7, 8)",6,71,6,6,0.0005778000340797007,16.48046875,False
86,DFS,"(2, 5, 3, 1, 0, 6, 4, 7, 8)",6,18224,17644,17644,0.1632246000226587,6880.20703125,False
87,BFS,"(2, 3, 0, 1, 4, 5, 7, 8, 6)",6,90,6,6,0.0010537999914959073,16.48046875,False
87,DFS,"(2, 3, 0, 1, 4, 5, 7, 8, 6)",6,7,6,6,5.530001362785697e-05,2.02734375,False
88,BFS,"(4, 1, 3, 2, 0, 5, 7, 8, 6)",6,106,6,6,0.0006661000079475343,16.48046875,False
88,DFS,"(4, 1, 3, 2, 0, 5, 7, 8, 6)",6,332,322,322,0.0021318999934010208,60.99609375,False
89,BFS,"(1, 2, 3, 7, 4, 6, 5, 8, 0)",6,88,6,6,0.0008045000140555203,16.48046875,False
89,DFS,"(1, 2, 3, 7, 4, 6, 5, 8, 0)",6,50000,,,0.4465718000428751,17358.60546875,True
90,BFS,"(2, 5, 3, 1, 0, 6, 4, 7, 8)",6,71,6,6,0.0005544000305235386,16.48046875,False
90,DFS,"(2, 5, 3, 1, 0, 6, 4, 7, 8)",6,18224,17644,17644,0.16860319999977946,6880.20703125,False
91,BFS,"(4, 1, 3, 7, 2, 5, 0, 8, 6)",6,57,6,6,0.0004918999620713294,16.48046875,False
91,DFS,"(4, 1, 3, 7, 2, 5, 0, 8, 6)",6,22050,21238,21238,0.1951460000127554,7618.40234375,False
92,BFS,"(1, 5, 2, 4, 8, 3, 0, 7, 6)",6,74,6,6,0.0006041000015102327,16.48046875,False
92,DFS,"(1, 5, 2, 4, 8, 3, 0, 7, 6)",6,2954,2876,2876,0.025127100001554936,1121.35546875,False
93,BFS,"(0, 1, 2, 4, 6, 3, 7, 5, 8)",6,88,6,6,0.0007570000016130507,16.48046875,False
93,DFS,"(0, 1, 2, 4, 6, 3, 7, 5, 8)",6,50000,,,0.45338039996568114,17358.49609375,True
94,BFS,"(0, 1, 2, 4, 6, 3, 7, 5, 8)",6,88,6,6,0.0006223000236786902,16.48046875,False
94,DFS,"(0, 1, 2, 4, 6, 3, 7, 5, 8)",6,50000,,,0.44836290000239387,17359.15234375,True
