algoritmo,cantidad_ejecuciones,tiempo_promedio,tiempo_mediana,memoria_promedio,memoria_mediana,nodos_promedio,movimientos_promedio,profundidad_promedio
BFS,100,0.000689694000175176,0.00063165000756265,16.82296875,16.48046875,80.25,6.0,6.0
DFS,51,0.06301378627084009,0.0204238999867811,2492.6675091911766,598.16015625,6979.392156862745,6715.137254901961,6715.137254901961
